model,display_name,seeds,micro_roc_auc_mean,micro_roc_auc_sample_sd,micro_pr_auc_mean,micro_pr_auc_sample_sd,macro_roc_auc_mean,macro_roc_auc_sample_sd
a2_reference,A2 gated four-scale,17/29/43,0.9567642165534302,0.0029443296976116406,0.9643131739776317,0.0034243496836393232,0.8726448438841384,0.009816410358762908
a8_learned_mix,A8 learned layer mix,17/29/43,0.9600488234998599,0.0009575794847886328,0.9670328659060818,0.0006915746149898729,0.8578630222574817,0.004292054560320959
ungated_add,Direct ungated addition,17/29/43,0.9567356606223744,0.0036868032654857885,0.9640428343027733,0.003818966615988536,0.8737484232438674,0.0076306335475194555
additive_projection,Parameter-matched additive projection,17/29/43,0.9543755357737453,0.006633019083256657,0.9613612573992975,0.007882997504686151,0.8718803278985477,0.007938862394116224
single_k3,Single scale k=3,17/29/43,0.9556175861710501,0.0011251639638390984,0.963455264587551,0.002080792117535588,0.8676417948282255,0.0013415722183564066
single_k7,Single scale k=7,17/29/43,0.9557436651648555,0.0009045802573488726,0.9635395607834302,0.0017652149295742901,0.8680782120734898,0.003502269192094047
single_k15,Single scale k=15,17/29/43,0.9555696257875939,0.0015238246616540074,0.9636736574327109,0.002221847562416758,0.8737632895923467,0.004571280096087653
single_k31,Single scale k=31,17/29/43,0.956238687508905,0.0022364750842227203,0.9639923101197757,0.0029832571901314345,0.8699425185663432,0.0058183351127769085
uniform_layer_mix,Fixed uniform layer mix,17/29/43,0.9598686255834251,0.000725134761025512,0.966799055491855,0.0006619710975670637,0.859555898390548,0.0032812830898641533
