source_entry_release,proteins,known_residues,positive_residues,negative_residues,roc_auc_full_precision,aps_full_precision,f1_at_0_5_full_precision,mcc_at_0_5_full_precision,brier_score
2023_12,6,2807,302,2505,0.9794701986754967,0.7474875972070135,0.8519040902679831,0.8431561703971542,0.037164819358692626
2024_06,1,219,0,219,,,,,
2025_06,4,2165,626,1539,0.9996325567201639,0.99911337374412,0.988085782366958,0.9832318049849598,0.00896423749580218
2026_06,76,25537,2071,23466,0.9733469853113146,0.8444658238923336,0.6791975420206037,0.6697119390743781,0.055716543290361534
