dataset,track,scope,stratum,proteins,first_model,second_model,residues,score_pearson,score_spearman,mean_absolute_score_difference,threshold_disagreement_residues,threshold_disagreement_rate,both_correct,a10_only_correct,comparator_only_correct,both_wrong,both_correct_rate,a10_only_correct_rate,comparator_only_correct_rate,both_wrong_rate,either_model_correct_rate,a10_net_correct_rate_advantage,error_overlap_jaccard
CAID2,disorder_pdb,known_label_disorder_fraction,"(0.10,0.30]",94,A10-locked,PUNCH2-Light Released-13,35118,0.8794334658231561,0.750877303314871,0.08577225142118343,2186,0.06224728059684492,30742,953,1233,2190,0.8753915371034797,0.027137080699356456,0.03511019989748847,0.06236118229967538,0.9376388177003246,-0.007973119198132012,0.5004570383912249
CAID2,disorder_pdb,known_label_disorder_fraction,0-0.10,98,A10-locked,LoRA-DR-Suite 650M,60262,0.695847542953564,0.6842140072099057,0.08078781306350902,3386,0.05618797915767814,55015,2019,1367,1861,0.9129302047724934,0.03350370050778268,0.022684278649895456,0.030881816069828417,0.9691181839301716,0.010819421857887226,0.3546788641128264
CAID2,disorder_pdb,known_label_disorder_fraction,0-0.10,98,A10-locked,PUNCH2-Light Paper-8,60262,0.7927597472896929,0.6201095041827814,0.05908531119365886,1946,0.032292323520626595,56438,596,1350,1878,0.9365437589193853,0.009890146360890776,0.02240217715973582,0.031163917559988052,0.968836082440012,-0.012512030798845043,0.49110878661087864
CAID2,disorder_pdb,known_label_disorder_fraction,0-0.10,98,A10-locked,PUNCH2-Light Released-13,60262,0.8014632262986198,0.6153703288735541,0.058294852136197436,1940,0.03219275828880555,56400,634,1306,1922,0.9359131791178521,0.010520726162424082,0.02167203212638147,0.031894062593342404,0.9681059374066576,-0.011151305963957386,0.49766960124287934
CAID2,disorder_pdb,known_label_disorder_fraction,"(0.30,0.60]",37,A10-locked,LoRA-DR-Suite 650M,7680,0.8220732106777714,0.8391757710259578,0.17048084182167056,1211,0.15768229166666667,5671,757,454,798,0.7384114583333333,0.09856770833333334,0.05911458333333333,0.10390625,0.89609375,0.039453125,0.397212543554007
CAID2,disorder_pdb,known_label_disorder_fraction,"(0.30,0.60]",37,A10-locked,PUNCH2-Light Paper-8,7680,0.8529236139393909,0.878151117521728,0.17758341132664715,976,0.12708333333333333,5843,585,391,861,0.7608072916666667,0.076171875,0.05091145833333333,0.112109375,0.887890625,0.025260416666666667,0.46869896570495373
CAID2,disorder_pdb,known_label_disorder_fraction,"(0.30,0.60]",37,A10-locked,PUNCH2-Light Released-13,7680,0.8706399803762083,0.8860522716202244,0.15713913840834245,821,0.10690104166666667,5944,484,337,915,0.7739583333333333,0.06302083333333333,0.04388020833333333,0.119140625,0.880859375,0.019140625,0.527073732718894
CAID3,disorder_nox,overall,all,204,A10-locked,LoRA-DR-Suite 650M,99977,0.8010732380974794,0.8160814590996329,0.18769947920078112,18043,0.1804715084469428,66457,6722,11321,15477,0.6647228862638407,0.06723546415675605,0.11323604429018674,0.15480560528921652,0.8451943947107835,-0.04600058013343069,0.46172434367541765
CAID3,disorder_nox,overall,all,204,A10-locked,PUNCH2-Light Paper-8,99977,0.8844833774794795,0.8934252782664853,0.16061466563562532,10486,0.10488412334837012,69489,3690,6796,20002,0.6950498614681376,0.036908488952459066,0.06797563439591106,0.2000660151834922,0.7999339848165078,-0.031067145443451995,0.6560614012070323
CAID3,disorder_nox,overall,all,204,A10-locked,PUNCH2-Light Released-13,99977,0.9000998843205982,0.9000298075069253,0.14255876920961671,9555,0.09557198155575783,69765,3414,6141,20657,0.6978104964141753,0.03414785400642148,0.06142412754933635,0.20661752203006692,0.7933824779699331,-0.02727627354291487,0.6837349397590361
CAID3,disorder_nox,protein_length,1-200,61,A10-locked,LoRA-DR-Suite 650M,7571,0.7190052078132313,0.7517913319015851,0.18541304651590412,1658,0.21899352793554352,4837,1361,297,1076,0.6388852199181085,0.17976489235239732,0.03922863558314622,0.1421212521463479,0.8578787478536521,0.14053625676925108,0.393562545720556
CAID3,disorder_nox,protein_length,1-200,61,A10-locked,PUNCH2-Light Paper-8,7571,0.8473849252494041,0.8775561543905405,0.20673398956520012,1255,0.16576409985470875,5426,772,483,890,0.716682076343944,0.10196803592656188,0.06379606392814688,0.11755382380134724,0.8824461761986527,0.038171971998415,0.4149184149184149
CAID3,disorder_nox,protein_length,1-200,61,A10-locked,PUNCH2-Light Released-13,7571,0.8669326354560887,0.8881559191229389,0.1863411538279712,1158,0.15295205388984282,5501,697,461,912,0.7265882974507991,0.09206181481970678,0.06089023907013605,0.12045964865935807,0.8795403513406419,0.031171575749570732,0.4405797101449275
CAID3,disorder_nox,protein_length,501-1000,50,A10-locked,LoRA-DR-Suite 650M,33327,0.8266539579149027,0.8360825959662188,0.1767452455852915,5047,0.15143877336693973,23651,1331,3716,4629,0.7096648363189005,0.03993758814174693,0.11150118522519278,0.13889639031415968,0.8611036096858403,-0.07156359708344585,0.4784001653575858
CAID3,disorder_nox,protein_length,501-1000,50,A10-locked,PUNCH2-Light Paper-8,33327,0.8824623115539041,0.9042820933778217,0.16239521207513757,3461,0.1038497314489753,23962,1020,2441,5904,0.7189966093557776,0.030605815104869927,0.07324391634410538,0.1771536591952471,0.8228463408047529,-0.042638101239235456,0.6304324612920449
CAID3,disorder_nox,protein_length,501-1000,50,A10-locked,PUNCH2-Light Released-13,33327,0.8977841227180232,0.907040318556268,0.1405389931862481,3180,0.09541812944459448,24060,922,2258,6087,0.7219371680619318,0.027665256398715758,0.06775287304587872,0.18264470249347375,0.8173552975065262,-0.04008761664716296,0.6568468760116543
CAID3,disorder_nox,protein_length,1001+,22,A10-locked,LoRA-DR-Suite 650M,35601,0.7741546250587091,0.8105103121623753,0.22901636304014328,8653,0.24305497036600096,21139,2781,5872,5809,0.5937754557456251,0.07811578326451504,0.16493918710148592,0.16316957388837391,0.8368304261116261,-0.08682340383697087,0.40167335085050476
CAID3,disorder_nox,protein_length,1001+,22,A10-locked,PUNCH2-Light Paper-8,35601,0.9022649408065713,0.8980729478729208,0.13880679258500914,3185,0.08946377910732844,22865,1055,2130,9551,0.6422572399651695,0.029633999044970646,0.0598297800623578,0.268278980927502,0.731721019072498,-0.030195781017387152,0.7499214824120602
CAID3,disorder_nox,protein_length,1001+,22,A10-locked,PUNCH2-Light Released-13,35601,0.9148814179319261,0.9085397073142234,0.1311443455397441,2900,0.08145838600039325,22842,1078,1822,9859,0.6416111906968905,0.030280048313249628,0.05117833768714362,0.2769304233027162,0.7230695766972838,-0.020898289373893993,0.7727094599890274
CAID3,disorder_nox,protein_length,201-500,71,A10-locked,LoRA-DR-Suite 650M,23478,0.8705414500409181,0.8321137491644445,0.14133522091623776,2685,0.11436238180424227,16830,1249,1436,3963,0.7168412982366471,0.05319873924525087,0.0611636425589914,0.16879631995911065,0.8312036800408893,-0.007964903313740524,0.5961191335740073
CAID3,disorder_nox,protein_length,201-500,71,A10-locked,PUNCH2-Light Paper-8,23478,0.8739554832142289,0.890020159706658,0.1762834796664009,2585,0.1101030752193543,17236,843,1742,3657,0.7341340829712922,0.03590595451060567,0.07419712070874862,0.15576284180935343,0.8442371581906466,-0.03829116619814294,0.5858699134892663
CAID3,disorder_nox,protein_length,201-500,71,A10-locked,PUNCH2-Light Released-13,23478,0.8948192103846784,0.8974818376392043,0.1486155687094199,2317,0.0986881335718545,17362,717,1600,3799,0.7395008092682511,0.030539228213646817,0.06814890535820768,0.16181105715989436,0.8381889428401056,-0.037609677144560864,0.6211576193590582
CAID3,disorder_nox,known_label_disorder_fraction,"(0.10,0.30]",72,A10-locked,LoRA-DR-Suite 650M,33203,0.8090345853371268,0.8174935891503913,0.17388058699229195,5170,0.15570882149203386,22036,2080,3090,5997,0.6636749691292956,0.06264494172213354,0.09306387976990031,0.1806162093786706,0.8193837906213294,-0.03041893804776677,0.5370287454105848
CAID3,disorder_nox,known_label_disorder_fraction,"(0.10,0.30]",72,A10-locked,PUNCH2-Light Paper-8,33203,0.885991540543796,0.8858219267553602,0.15501014923850706,3438,0.10354486040418034,23111,1005,2433,6654,0.696051561605879,0.0302683492455501,0.07327651115863025,0.20040357798994066,0.7995964220100593,-0.04300816191308014,0.6593341260404281
CAID3,disorder_nox,known_label_disorder_fraction,"(0.10,0.30]",72,A10-locked,PUNCH2-Light Released-13,33203,0.9013152119112402,0.8882808456774973,0.1351250161815098,3119,0.09393729482275698,23205,911,2208,6879,0.6988826310875523,0.02743727976387676,0.06650001505888022,0.2071800740896907,0.7928199259103094,-0.03906273529500346,0.6880376075215043
CAID3,disorder_nox,known_label_disorder_fraction,0-0.10,43,A10-locked,LoRA-DR-Suite 650M,33811,0.7442301333580437,0.7747267250210468,0.21790819019724145,7670,0.22684925024400343,20291,962,6708,5850,0.6001301351631126,0.028452278844163143,0.19839697139984028,0.17302061459288398,0.826979385407116,-0.16994469255567715,0.4326923076923077
CAID3,disorder_nox,known_label_disorder_fraction,0-0.10,43,A10-locked,PUNCH2-Light Paper-8,33811,0.8750194436033757,0.8686112775159536,0.1444634183411863,3624,0.10718405252728402,20508,745,2879,9679,0.6065481647984384,0.02203424920883736,0.08514980331844665,0.2862677826742776,0.7137322173257225,-0.0631155541096093,0.7275802450575058
CAID3,disorder_nox,known_label_disorder_fraction,0-0.10,43,A10-locked,PUNCH2-Light Released-13,33811,0.8871016447034199,0.8756247018299903,0.14122857889467538,3319,0.09816331962970631,20488,765,2554,10004,0.6059566413297448,0.02262577267753098,0.07553754695217532,0.29588003904054894,0.7041199609594511,-0.052911774274644344,0.7508819334984613
CAID3,disorder_nox,known_label_disorder_fraction,"(0.30,0.60]",48,A10-locked,LoRA-DR-Suite 650M,20400,0.8605620734238114,0.8694983386376599,0.14718964323924313,2551,0.12504901960784315,15082,1482,1069,2767,0.739313725490196,0.07264705882352941,0.05240196078431372,0.1356372549019608,0.8643627450980392,0.020245098039215686,0.5203083866115081
CAID3,disorder_nox,known_label_disorder_fraction,"(0.30,0.60]",48,A10-locked,PUNCH2-Light Paper-8,20400,0.8774506414088296,0.897084287380395,0.1733105991062559,2336,0.11450980392156863,15446,1118,1218,2618,0.7571568627450981,0.05480392156862745,0.05970588235294118,0.12833333333333333,0.8716666666666667,-0.004901960784313725,0.5284618490109003
CAID3,disorder_nox,known_label_disorder_fraction,"(0.30,0.60]",48,A10-locked,PUNCH2-Light Released-13,20400,0.8930971700883606,0.8970355573817688,0.14913912331770396,2133,0.10455882352941176,15559,1005,1128,2708,0.7626960784313725,0.04926470588235294,0.05529411764705883,0.1327450980392157,0.8672549019607844,-0.006029411764705882,0.5593885560834538
CAID3,disorder_nox,known_label_disorder_fraction,"(0.60,1.00]",41,A10-locked,LoRA-DR-Suite 650M,12563,0.5652907340559384,0.23188614185633186,0.20870103966504258,2652,0.21109607577807848,9048,2198,454,863,0.7202101408899149,0.17495821061848285,0.03613786515959564,0.06869378333200668,0.9313062166679933,0.13882034545888722,0.24551920341394026
CAID3,disorder_nox,known_label_disorder_fraction,"(0.60,1.00]",41,A10-locked,PUNCH2-Light Paper-8,12563,0.7292815012232042,0.6626879070475121,0.1982791993779583,1088,0.08660351826792964,10424,822,266,1051,0.8297381198758258,0.06543023163257183,0.021173286635357797,0.08365836185624453,0.9163416381437555,0.04425694499721404,0.49135109864422627
