scope,track,model,metric,caid2,caid3,delta,absolute_delta,minimum,maximum,range
CAID3_minus_CAID2_same_track,disorder_nox,A10-locked,roc_auc_full_precision,0.7807674567316163,0.8521064029233374,0.0713389461917211,0.0713389461917211,,,
CAID3_minus_CAID2_same_track,disorder_nox,A10-locked,aucpr_trapezoid_full_precision,0.3605817080016462,0.605799809007589,0.24521810100594282,0.24521810100594282,,,
CAID3_minus_CAID2_same_track,disorder_nox,A10-locked,aps_full_precision,0.3606210577771879,0.6058384780945609,0.24521742031737304,0.24521742031737304,,,
CAID3_minus_CAID2_same_track,disorder_nox,A10-locked,f1_at_0_5_full_precision,0.5144739938809132,0.6455572309076,0.13108323702668678,0.13108323702668678,,,
CAID3_minus_CAID2_same_track,disorder_nox,A10-locked,mcc_at_0_5_full_precision,0.4084275764143168,0.5184136231303342,0.10998604671601742,0.10998604671601742,,,
CAID3_minus_CAID2_same_track,disorder_nox,A10-locked,fmax_full_precision,0.5373743142093778,0.6653282771953305,0.12795396298595274,0.12795396298595274,,,
CAID3_minus_CAID2_same_track,disorder_nox,A10-locked,brier_score,0.30223102758740766,0.2389518515474585,-0.06327917603994918,0.06327917603994918,,,
CAID3_minus_CAID2_same_track,disorder_nox,A10-locked,error_rate_at_0_5,0.3335655029166304,0.26804164957940324,-0.06552385333722716,0.06552385333722716,,,
CAID3_minus_CAID2_same_track,disorder_nox,LoRA-DR-Suite 650M,roc_auc_full_precision,0.8348449214682554,0.8599948684481653,0.02514994697990991,0.02514994697990991,,,
CAID3_minus_CAID2_same_track,disorder_nox,LoRA-DR-Suite 650M,aucpr_trapezoid_full_precision,0.5883559630051634,0.6955791012194649,0.10722313821430152,0.10722313821430152,,,
CAID3_minus_CAID2_same_track,disorder_nox,LoRA-DR-Suite 650M,aps_full_precision,0.5881376908121885,0.6955149136410912,0.10737722282890272,0.10737722282890272,,,
CAID3_minus_CAID2_same_track,disorder_nox,LoRA-DR-Suite 650M,f1_at_0_5_full_precision,0.5240819698018779,0.6451623215741437,0.12108035177226573,0.12108035177226573,,,
CAID3_minus_CAID2_same_track,disorder_nox,LoRA-DR-Suite 650M,mcc_at_0_5_full_precision,0.39272929656110894,0.5023308050920606,0.10960150853095169,0.10960150853095169,,,
CAID3_minus_CAID2_same_track,disorder_nox,LoRA-DR-Suite 650M,fmax_full_precision,0.5307887405929067,0.6510240065102401,0.12023526591733336,0.12023526591733336,,,
CAID3_minus_CAID2_same_track,disorder_nox,LoRA-DR-Suite 650M,brier_score,0.1622916841307963,0.15964686490721852,-0.002644819223577788,0.002644819223577788,,,
CAID3_minus_CAID2_same_track,disorder_nox,LoRA-DR-Suite 650M,error_rate_at_0_5,0.24364746707130508,0.22204106944597257,-0.021606397625332507,0.021606397625332507,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Paper-8,roc_auc_full_precision,0.7775397976999057,0.8260167135349638,0.04847691583505809,0.04847691583505809,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Paper-8,aucpr_trapezoid_full_precision,0.36670727656035024,0.5418797907505447,0.17517251419019447,0.17517251419019447,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Paper-8,aps_full_precision,0.36673561108737496,0.5419244854542848,0.17518887436690989,0.17518887436690989,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Paper-8,f1_at_0_5_full_precision,0.5146130272927336,0.6446910617876425,0.13007803449490885,0.13007803449490885,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Paper-8,mcc_at_0_5_full_precision,0.3889739215633608,0.5026219188418611,0.11364799727850033,0.11364799727850033,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Paper-8,fmax_full_precision,0.5152549907055687,0.6451417034776933,0.1298867127721246,0.1298867127721246,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Paper-8,brier_score,0.20926508500033825,0.17561902705282417,-0.033646057947514074,0.033646057947514074,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Paper-8,error_rate_at_0_5,0.29352868745413613,0.23697450413595128,-0.05655418331818485,0.05655418331818485,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Released-13,roc_auc_full_precision,0.7794531638558106,0.8399365124965527,0.06048334864074201,0.06048334864074201,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Released-13,aucpr_trapezoid_full_precision,0.3744694148289774,0.579245090317666,0.20477567548868864,0.20477567548868864,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Released-13,aps_full_precision,0.3745068675609313,0.5792858958222552,0.20477902826132388,0.20477902826132388,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Released-13,f1_at_0_5_full_precision,0.515857423519506,0.6457281624843624,0.12987073896485635,0.12987073896485635,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Released-13,mcc_at_0_5_full_precision,0.3939009693031699,0.5052857617799105,0.11138479247674055,0.11138479247674055,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Released-13,fmax_full_precision,0.516387918252232,0.6468849961919269,0.1304970779396949,0.1304970779396949,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Released-13,brier_score,0.22534366552749457,0.17757122000830222,-0.04777244551919235,0.04777244551919235,,,
CAID3_minus_CAID2_same_track,disorder_nox,PUNCH2-Light Released-13,error_rate_at_0_5,0.30036939839056725,0.2407653760364884,-0.059604022354078856,0.059604022354078856,,,
CAID3_minus_CAID2_same_track,disorder_pdb,A10-locked,roc_auc_full_precision,0.9575679751694285,0.9535842549359882,-0.003983720233440291,0.003983720233440291,,,
CAID3_minus_CAID2_same_track,disorder_pdb,A10-locked,aucpr_trapezoid_full_precision,0.9335209430446846,0.9309654077244787,-0.002555535320205915,0.002555535320205915,,,
CAID3_minus_CAID2_same_track,disorder_pdb,A10-locked,aps_full_precision,0.9335218070402551,0.9309664795492332,-0.0025553274910219415,0.0025553274910219415,,,
CAID3_minus_CAID2_same_track,disorder_pdb,A10-locked,f1_at_0_5_full_precision,0.8667833109017496,0.845464379539484,-0.021318931362265703,0.021318931362265703,,,
CAID3_minus_CAID2_same_track,disorder_pdb,A10-locked,mcc_at_0_5_full_precision,0.8139848467160302,0.7715425621744761,-0.042442284541554076,0.042442284541554076,,,
CAID3_minus_CAID2_same_track,disorder_pdb,A10-locked,fmax_full_precision,0.8719740664337137,0.8608332651223704,-0.011140801311343318,0.011140801311343318,,,
CAID3_minus_CAID2_same_track,disorder_pdb,A10-locked,brier_score,0.06085538859487723,0.07701960954500327,0.01616422095012604,0.01616422095012604,,,
CAID3_minus_CAID2_same_track,disorder_pdb,A10-locked,error_rate_at_0_5,0.07562826165025176,0.10076683561906105,0.025138573968809294,0.025138573968809294,,,
CAID3_minus_CAID2_same_track,disorder_pdb,LoRA-DR-Suite 650M,roc_auc_full_precision,0.9201788847823578,0.9201374052415164,-4.14795408413271e-05,4.14795408413271e-05,,,
CAID3_minus_CAID2_same_track,disorder_pdb,LoRA-DR-Suite 650M,aucpr_trapezoid_full_precision,0.840198346173139,0.8668394038070357,0.02664105763389668,0.02664105763389668,,,
CAID3_minus_CAID2_same_track,disorder_pdb,LoRA-DR-Suite 650M,aps_full_precision,0.8401138870002114,0.8667428485576336,0.026628961557422226,0.026628961557422226,,,
CAID3_minus_CAID2_same_track,disorder_pdb,LoRA-DR-Suite 650M,f1_at_0_5_full_precision,0.7344981762560301,0.7737697205934239,0.03927154433739377,0.03927154433739377,,,
CAID3_minus_CAID2_same_track,disorder_pdb,LoRA-DR-Suite 650M,mcc_at_0_5_full_precision,0.6471847381498009,0.6793974692032949,0.03221273105349398,0.03221273105349398,,,
CAID3_minus_CAID2_same_track,disorder_pdb,LoRA-DR-Suite 650M,fmax_full_precision,0.7715829348568588,0.779280855790739,0.00769792093388022,0.00769792093388022,,,
CAID3_minus_CAID2_same_track,disorder_pdb,LoRA-DR-Suite 650M,brier_score,0.09692511772528746,0.09896161647602943,0.0020364987507419663,0.0020364987507419663,,,
CAID3_minus_CAID2_same_track,disorder_pdb,LoRA-DR-Suite 650M,error_rate_at_0_5,0.13793103448275862,0.1356825441610657,-0.002248490321692914,0.002248490321692914,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Paper-8,roc_auc_full_precision,0.9485264623749894,0.9509222551346361,0.002395792759646742,0.002395792759646742,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Paper-8,aucpr_trapezoid_full_precision,0.9078067815138675,0.9225165236178101,0.014709742103942602,0.014709742103942602,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Paper-8,aps_full_precision,0.9078083140375656,0.9225179223392903,0.014709608301724741,0.014709608301724741,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Paper-8,f1_at_0_5_full_precision,0.8297125398434172,0.8372947201130143,0.007582180269597116,0.007582180269597116,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Paper-8,mcc_at_0_5_full_precision,0.7761094438988163,0.7824779183216044,0.006368474422788095,0.006368474422788095,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Paper-8,fmax_full_precision,0.8406551059730251,0.8511779913174966,0.010522885344471544,0.010522885344471544,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Paper-8,brier_score,0.07560911109815488,0.08033749825747824,0.004728387159323361,0.004728387159323361,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Paper-8,error_rate_at_0_5,0.08857935313309444,0.09284656233940286,0.004267209206308423,0.004267209206308423,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Released-13,roc_auc_full_precision,0.9497906772552737,0.9524903488508097,0.0026996715955360795,0.0026996715955360795,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Released-13,aucpr_trapezoid_full_precision,0.911855610619453,0.9258607312240634,0.014005120604610455,0.014005120604610455,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Released-13,aps_full_precision,0.9118569747260507,0.9258621093020509,0.014005134576000278,0.014005134576000278,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Released-13,f1_at_0_5_full_precision,0.8404827476821478,0.8479057728054481,0.007423025123300286,0.007423025123300286,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Released-13,mcc_at_0_5_full_precision,0.7868263522425014,0.7929970180327494,0.006170665790247942,0.006170665790247942,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Released-13,fmax_full_precision,0.8454603633935278,0.8551981629247825,0.009737799531254643,0.009737799531254643,,,
CAID3_minus_CAID2_same_track,disorder_pdb,PUNCH2-Light Released-13,brier_score,0.06928649935135746,0.0730596927843926,0.0037731934330351435,0.0037731934330351435,,,
